Designator,Mid X,Mid Y,Layer,Rotation
D3,"342,500mm","75,000mm",B,0
J3,"39,625mm","173,000mm",B,90
Q5,"35,000mm","290,000mm",B,270
Q4,"35,000mm","247,500mm",B,270
R10,"215,000mm","80,000mm",B,90
R6,"395,558mm","294,811mm",T,270
R4,"418,058mm","294,811mm",T,90
R28,"26,500mm","95,000mm",B,180
R27,"26,500mm","52,500mm",B,180
R5,"440,000mm","295,000mm",T,90
R7,"447,500mm","50,000mm",T,270
C18,"47,600mm","317,500mm",B,180
C17,"67,600mm","97,500mm",B,0
C16,"322,500mm","265,000mm",B,270
C13,"220,000mm","319,900mm",B,90
C14,"95,000mm","177,600mm",B,90
C9,"355,000mm","212,500mm",B,270
C3,"492,500mm","28,750mm",B,270
C2,"492,500mm","310,000mm",B,0
C1,"492,500mm","280,000mm",B,0
C4,"460,000mm","27,742mm",B,90
C6,"369,650mm","293,781mm",T,90
C15,"120,000mm","177,742mm",B,270
U6,"188,750mm","185,250mm",B,0
U2,"250,000mm","172,000mm",T,270
U1,"455,000mm","300,000mm",B,270
MD1,"374,950mm","172,500mm",T,270
C8,"260,000mm","110,000mm",B,180
C7,"260,000mm","77,500mm",B,180
C5,"342,500mm","291,541mm",T,270
C12,"165,000mm","80,000mm",B,270
C10,"200,000mm","27,500mm",B,270
C11,"365,000mm","25,000mm",B,270
Q1,"288,650mm","153,000mm",B,180
SW1,"115,000mm","322,500mm",B,0
D6,"65,900mm","72,500mm",B,180
D5,"65,900mm","17,500mm",B,180
D4,"65,900mm","45,000mm",B,180
D1,"475,000mm","310,000mm",T,0
D2,"472,664mm","287,790mm",T,0
U3,"307,500mm","307,500mm",T,90
U5,"344,710mm","144,316mm",B,90
R11,"167,500mm","27,500mm",B,90
R12,"330,000mm","22,500mm",B,90
R26,"85,000mm","280,000mm",B,0
R19,"108,490mm","131,991mm",B,90
R18,"282,500mm","265,000mm",B,90
R17,"127,500mm","230,000mm",B,270
R16,"222,500mm","250,000mm",B,90
R13,"117,500mm","80,000mm",B,270
R3,"382,500mm","52,500mm",T,270
R2,"417,500mm","52,500mm",T,270
R15,"187,500mm","319,267mm",B,270
R25,"85,000mm","252,500mm",B,0
R9,"325,000mm","212,500mm",B,270
R8,"285,000mm","212,500mm",B,270
R21,"155,000mm","249,000mm",B,270
R20,"352,500mm","265,000mm",B,270
R23,"190,000mm","250,000mm",B,270
R1,"405,000mm","277,500mm",B,180
R24,"162,500mm","125,000mm",B,90
R22,"200,000mm","125,000mm",B,90
R14,"92,500mm","217,500mm",B,270
J2,"427,000mm","126,500mm",B,90
J1,"426,000mm","217,500mm",B,90
SW4,"115,000mm","17,500mm",B,180
SW2,"245,000mm","17,500mm",B,180
SW3,"410,000mm","17,750mm",B,180
Q3,"353,000mm","315,100mm",B,90
Q2,"312,500mm","315,000mm",B,90
S2,"402,500mm","320,000mm",B,180
S1,"260,000mm","320,000mm",B,0
U4,"482,500mm","47,500mm",T,90
